Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Rampage,1,0.0005521811154058532,0.9098196392785571,454.0,card
ChewingGum,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Dualcast,1,0.0005521811154058532,0.9098196392785571,454.0,card
Barrage,1,0.0005521811154058532,0.9098196392785571,454.0,card
MoneyPower,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Twin Strike,1,0.0005521811154058532,0.9098196392785571,454.0,card
Bash,1,0.0005521811154058532,0.9098196392785571,454.0,card
Rebound,1,0.0005521811154058532,0.9098196392785571,454.0,card
Electric Blood,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Consume,1,0.0005521811154058532,0.9098196392785571,454.0,card
Prostrate,1,0.0005521811154058532,0.9098196392785571,454.0,card
Battle Trance,1,0.0005521811154058532,0.9098196392785571,454.0,card
Compile Driver,1,0.0005521811154058532,0.9098196392785571,454.0,card
Dropkick,1,0.0005521811154058532,0.9098196392785571,454.0,card
EqualTreatment,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Hidden Blade,1,0.0005521811154058532,0.9098196392785571,454.0,card
Melter,1,0.0005521811154058532,0.9098196392785571,454.0,card
Mirror,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Electrodynamics,1,0.0005521811154058532,0.9098196392785571,454.0,card
DeathBook,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Reckless Charge,1,0.0005521811154058532,0.9098196392785571,454.0,card
Poisoned Strike,1,0.0005521811154058532,0.9098196392785571,454.0,card
Zap,1,0.0005521811154058532,0.9098196392785571,454.0,card
Searing Blow,1,0.0005521811154058532,0.9098196392785571,454.0,card
Static Discharge,1,0.0005521811154058532,0.9098196392785571,454.0,card
Winged Necklace,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Thunder Strike,1,0.0005521811154058532,0.9098196392785571,454.0,card
Snack Pack,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Loop,1,0.0005521811154058532,0.9098196392785571,454.0,card
Rupture,1,0.0005521811154058532,0.9098196392785571,454.0,card
HushsDoor,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Counterbalance,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Rip and Tear,1,0.0005521811154058532,0.9098196392785571,454.0,card
Sentinel,1,0.0005521811154058532,0.9098196392785571,454.0,card
CrystalShield,1,0.0005521811154058532,0.9098196392785571,454.0,relic
NoteOfAlchemist,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Sever Soul,1,0.0005521811154058532,0.9098196392785571,454.0,card
Entrench,1,0.0005521811154058532,0.9098196392785571,454.0,card
Lockon,1,0.0005521811154058532,0.9098196392785571,454.0,card
Go for the Eyes,1,0.0005521811154058532,0.9098196392785571,454.0,card
Toxin Wave,1,0.0005521811154058532,0.9098196392785571,454.0,card
Rawhide,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Reflect,1,0.0005521811154058532,0.9098196392785571,454.0,card
Register,1,0.0005521811154058532,0.9098196392785571,454.0,relic
ReplayFunnel,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Sweeping Beam,1,0.0005521811154058532,0.9098196392785571,454.0,card
Iron Hammer,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Poison Darts,1,0.0005521811154058532,0.9098196392785571,454.0,card
MerchantsRug,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Multi-Cast,1,0.0005521811154058532,0.9098196392785571,454.0,card
Iron Wave,1,0.0005521811154058532,0.9098196392785571,454.0,card
Guide Book,1,0.0005521811154058532,0.9098196392785571,454.0,relic
GuppysPaw,1,0.0005521811154058532,0.9098196392785571,454.0,relic
GuppysHead,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Doom and Gloom,1,0.0005521811154058532,0.9098196392785571,454.0,card
Bandana,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Capacitor,1,0.0005521811154058532,0.9098196392785571,454.0,card
BalancedPeriapt,1,0.0005521811154058532,0.9098196392785571,454.0,relic
AscensionHeart,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Streamline,1,0.0005521811154058532,0.9098196392785571,454.0,card
Baseball,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Defragment,1,0.0005521811154058532,0.9098196392785571,454.0,card
AssaultLearning,1,0.0005521811154058532,0.9098196392785571,454.0,relic
SatanicBible,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Cleave,1,0.0005521811154058532,0.9098196392785571,454.0,card
Clash,1,0.0005521811154058532,0.9098196392785571,454.0,card
Temperance,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Brutality,1,0.0005521811154058532,0.9098196392785571,454.0,card
GuppysTail,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Chameleon Ring,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Crow Ritual,1,0.0005521811154058532,0.9098196392785571,454.0,card
ChampionBelt,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Arrowhead,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Blizzard,1,0.0005521811154058532,0.9098196392785571,454.0,card
Byrd Skull,1,0.0005521811154058532,0.9098196392785571,454.0,relic
BouquetWithThorns,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Bloodletting,1,0.0005521811154058532,0.9098196392785571,454.0,card
Blood for Blood,1,0.0005521811154058532,0.9098196392785571,454.0,card
SteamSale,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Combust,1,0.0005521811154058532,0.9098196392785571,454.0,card
Leech,1,0.0005521811154058532,0.9098196392785571,454.0,relic
Storm,1,0.0005521811154058532,0.9098196392785571,454.0,card
Bludgeon,1,0.0005521811154058532,0.9098196392785571,454.0,card
TheBible,1,0.0005521811154058532,0.9098196392785571,454.0,relic
