Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Toxic Egg 2,388,0.21424627277747102,0.09719438877755511,48.5,relic
Red Mask,384,0.2120375483158476,0.10020040080160321,50.0,relic
Blood Vial,382,0.2109331860850359,0.10220440881763528,51.0,relic
PreservedInsect,376,0.20762009939260076,0.10420841683366733,52.0,relic
Grand Finale,375,0.20706791827719492,0.1062124248496994,53.0,card
Dash,374,0.20651573716178906,0.10821643286573146,54.0,card
Orichalcum,372,0.20541137493097736,0.11022044088176353,55.0,relic
Mummified Hand,371,0.2048591938155715,0.11222444889779559,56.0,relic
Potion Belt,370,0.20430701270016566,0.11422845691382766,57.0,relic
Mercury Hourglass,369,0.2037548315847598,0.11623246492985972,58.0,relic
Kunai,366,0.20209828823854223,0.11923847695390781,59.5,relic
Boot,366,0.20209828823854223,0.11923847695390781,59.5,relic
Shuriken,365,0.2015461071231364,0.12224448897795591,61.0,relic
Runic Pyramid,361,0.19933738266151296,0.12424849699398798,62.0,relic
Sundial,352,0.1943677526228603,0.12625250501002003,63.0,relic
Poisoned Stab,349,0.19271120927664273,0.1282565130260521,64.0,card
Terror,348,0.1921590281612369,0.13026052104208416,65.0,card
Backstab,347,0.19160684704583103,0.13226452905811623,66.0,card
Caltrops,332,0.18332413031474323,0.13627254509018036,68.0,card
Letter Opener,332,0.18332413031474323,0.13627254509018036,68.0,relic
Dagger Spray,332,0.18332413031474323,0.13627254509018036,68.0,card
Pandora's Box,331,0.18277194919933737,0.14128256513026052,70.5,relic
Omamori,331,0.18277194919933737,0.14128256513026052,70.5,relic
Meat on the Bone,330,0.18221976808393153,0.14428857715430862,72.0,relic
Gremlin Horn,325,0.17945886250690227,0.1462925851703407,73.0,relic
MawBank,320,0.176697956929873,0.1492985971943888,74.5,relic
Concentrate,320,0.176697956929873,0.1492985971943888,74.5,card
Whetstone,319,0.17614577581446714,0.1533066132264529,76.5,relic
Ornamental Fan,319,0.17614577581446714,0.1533066132264529,76.5,relic
Juzu Bracelet,314,0.17338487023743787,0.156312625250501,78.0,relic
Pear,312,0.17228050800662617,0.15831663326653306,79.0,relic
Ancient Tea Set,311,0.1717283268912203,0.16032064128256512,80.0,relic
Astrolabe,301,0.1662065157371618,0.1623246492985972,81.0,relic
Smiling Mask,295,0.16289342904472667,0.1653306613226453,82.5,relic
Regal Pillow,295,0.16289342904472667,0.1653306613226453,82.5,relic
Bottled Lightning,291,0.16068470458310327,0.1683366733466934,84.0,relic
Frozen Egg 2,280,0.15461071231363888,0.17034068136272545,85.0,relic
Dodecahedron,278,0.15350635008282718,0.17334669338677355,86.5,relic
Dream Catcher,278,0.15350635008282718,0.17334669338677355,86.5,relic
Dagger Throw,275,0.1518498067366096,0.17635270541082165,88.0,card
Question Card,273,0.1507454445057979,0.17835671342685372,89.0,relic
Infinite Blades,271,0.1496410822749862,0.18036072144288579,90.0,card
Coffee Dripper,269,0.14853672004417448,0.18236472945891782,91.0,relic
Gambling Chip,264,0.14577581446714521,0.1843687374749499,92.0,relic
Empty Cage,260,0.1435670900055218,0.18637274549098196,93.0,relic
The Courier,252,0.13914964108227498,0.18937875751503006,94.5,relic
