Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Bag of Marbles,363,0.21749550629119233,0.1455223880597015,58.5,relic
Toxic Egg 2,363,0.21749550629119233,0.1455223880597015,58.5,relic
Double Energy,355,0.2127022168963451,0.14925373134328357,60.0,card
Red Mask,351,0.21030557219892151,0.1517412935323383,61.0,relic
Pantograph,339,0.20311563810665068,0.15422885572139303,62.0,relic
Blood Vial,336,0.201318154583583,0.15671641791044777,63.0,relic
All For One,334,0.20011983223487118,0.15920398009950248,64.0,card
Frozen Egg 2,328,0.19652486518873577,0.16169154228855723,65.0,relic
FTL,327,0.19592570401437986,0.16417910447761194,66.0,card
Pear,324,0.19412822049131218,0.16666666666666666,67.0,relic
Symbiotic Virus,320,0.19173157579388855,0.17039800995024876,68.5,relic
Blizzard,320,0.19173157579388855,0.17039800995024876,68.5,card
Meat on the Bone,319,0.19113241461953265,0.17412935323383086,70.0,relic
Regal Pillow,318,0.19053325344517674,0.17786069651741293,71.5,relic
Whetstone,318,0.19053325344517674,0.17786069651741293,71.5,relic
Mercury Hourglass,306,0.18334331935290593,0.18159203980099503,73.0,relic
Ancient Tea Set,304,0.18214499700419412,0.18407960199004975,74.0,relic
Sundial,300,0.17974835230677053,0.1865671641791045,75.0,relic
Redo,299,0.17914919113241462,0.1890547263681592,76.0,card
Gash,296,0.1773517076093469,0.19154228855721392,77.0,card
MawBank,292,0.1749550629119233,0.19402985074626866,78.0,relic
Boot,291,0.1743559017375674,0.19651741293532338,79.0,relic
Darkness,290,0.1737567405632115,0.19900497512437812,80.0,card
Stack,289,0.1731575793888556,0.20149253731343283,81.0,card
Dream Catcher,288,0.1725584182144997,0.2064676616915423,83.0,relic
Letter Opener,288,0.1725584182144997,0.2064676616915423,83.0,relic
Juzu Bracelet,288,0.1725584182144997,0.2064676616915423,83.0,relic
Smiling Mask,287,0.1719592570401438,0.21144278606965175,85.0,relic
Kunai,286,0.1713600958657879,0.21393034825870647,86.0,relic
Beam Cell,285,0.170760934691432,0.21641791044776118,87.0,card
Pandora's Box,284,0.1701617735170761,0.21890547263681592,88.0,relic
Static Discharge,283,0.1695626123427202,0.22263681592039802,89.5,card
Bottled Lightning,283,0.1695626123427202,0.22263681592039802,89.5,relic
Shuriken,280,0.1677651288196525,0.22761194029850745,91.5,relic
Bottled Tornado,280,0.1677651288196525,0.22761194029850745,91.5,relic
Gremlin Horn,278,0.1665668064709407,0.23134328358208955,93.0,relic
Meteor Strike,277,0.16596764529658478,0.23383084577114427,94.0,card
Doom and Gloom,270,0.16177351707609347,0.236318407960199,95.0,card
Runic Pyramid,267,0.15997603355302575,0.23880597014925373,96.0,relic
