Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Ornamental Fan,292,0.17016317016317017,0.27647058823529413,47.0
Shuriken,287,0.16724941724941725,0.2823529411764706,48.0
Regal Pillow,285,0.1660839160839161,0.28823529411764703,49.0
Bottled Tornado,280,0.16317016317016317,0.29411764705882354,50.0
Runic Pyramid,279,0.16258741258741258,0.3,51.0
Frozen Egg 2,274,0.15967365967365968,0.3058823529411765,52.0
Question Card,268,0.1561771561771562,0.31176470588235294,53.0
Blue Candle,256,0.14918414918414918,0.3176470588235294,54.0
Dodecahedron,254,0.14801864801864803,0.3235294117647059,55.0
Gambling Chip,246,0.14335664335664336,0.32941176470588235,56.0
Tiny Chest,243,0.14160839160839161,0.3352941176470588,57.0
Matryoshka,242,0.14102564102564102,0.3411764705882353,58.0
Fusion Hammer,240,0.13986013986013987,0.34705882352941175,59.0
Incense Burner,239,0.13927738927738928,0.35294117647058826,60.0
Coffee Dripper,234,0.13636363636363635,0.3588235294117647,61.0
Bottled Lightning,232,0.1351981351981352,0.36470588235294116,62.0
The Courier,230,0.13403263403263405,0.37058823529411766,63.0
Pocketwatch,228,0.13286713286713286,0.3764705882352941,64.0
Bird Faced Urn,209,0.12179487179487179,0.38235294117647056,65.0
Thread and Needle,208,0.12121212121212122,0.38823529411764707,66.0
Sozu,205,0.11946386946386946,0.3941176470588235,67.0
Du-Vu Doll,203,0.1182983682983683,0.4,68.0
Champion Belt,200,0.11655011655011654,0.40588235294117647,69.0
Darkstone Periapt,199,0.11596736596736597,0.4117647058823529,70.0
FossilizedHelix,198,0.11538461538461539,0.4176470588235294,71.0
Astrolabe,196,0.11421911421911422,0.4235294117647059,72.0
Mango,194,0.11305361305361306,0.4294117647058823,73.0
